央视,#genre#
湖北卫视,http://125.32.116.75:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://125.32.116.75:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://125.32.116.75:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0





地方,#genre#
吉林综艺,http://125.32.116.75:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=0&authid=0
吉视都市,http://125.32.116.75:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0
吉视影视,http://125.32.116.75:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=0&authid=0
吉视生活,http://125.32.116.75:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
长影频道,http://125.32.116.75:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=0&authid=0
松原,http://125.32.116.75:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=0&authid=0

辽宁北方,http://119.114.35.209:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁都市,http://119.114.35.209:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁公共,http://119.114.35.209:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁经济,http://119.114.35.209:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁生活,http://119.114.35.209:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁体育,http://119.114.35.209:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁影视剧,http://119.114.35.209:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
移动电视,http://119.114.35.209:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0

上海卫视,http://116.235.25.239:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
都市剧场,http://116.235.25.239:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
上海纪实,http://116.235.25.239:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
法制天地,http://116.235.25.239:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
上海教育,http://116.235.25.239:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
崇明综合,http://116.235.25.239:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
五星体育,http://116.235.25.239:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
上海电视剧,http://116.235.25.239:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
都市频道,http://116.235.25.239:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0

卡通动漫,#genre#
新动漫,http://119.114.35.209:9901/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷动漫,http://119.114.35.209:9901/tsfile/live/1087_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://119.114.35.209:9901/tsfile/live/1088_1.m3u8?key=txiptv&playlive=1&authid=0
炫动卡通,http://119.114.35.209:9901/tsfile/live/1089_1.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通,http://119.114.35.209:9901/tsfile/live/1090_1.m3u8?key=txiptv&playlive=1&authid=0
佳嘉卡通,http://119.114.35.209:9901/tsfile/live/1091_1.m3u8?key=txiptv&playlive=1&authid=0


其他,#genre#
快乐垂钓,http://119.114.35.209:9901/tsfile/live/1136_1.m3u8?key=txiptv&playlive=1&authid=0
梨园频道,http://119.114.35.209:9901/tsfile/live/1096_1.m3u8?key=txiptv&playlive=1&authid=0







